message,label
Win a free iPhone now,1
Limited offer claim your prize,1
Congratulations you won money,1
Urgent offer click now,1
Free gift waiting for you,1
You have won a lottery,1
Claim your reward today,1
Exclusive deal just for you,1
Get rich fast scheme,1
Earn money from home,1
Act now limited time offer,1
Congratulations claim your bonus,1
Free recharge available,1
You are selected for a prize,1
Win cash instantly,1
Cheap loans available now,1
Special discount only today,1
Click link to win reward,1
Winner announced claim fast,1
Free voucher waiting,1
Your account has been suspended verify immediately,1
Get instant cashback on your first transaction,1
You are pre-approved for a credit card apply now,1
Limited stocks available buy before midnight,1
Unlock premium features for free today,1
Flash sale ends in one hour hurry up,1
Your payment failed update details now,1
Earn passive income with this simple trick,1
Claim your festival bonus now,1
You have received an unclaimed refund,1
Exclusive invite join our VIP group,1
Instant loan approved no documents needed,1
Double your money in just 7 days,1
Your SIM will be blocked take action,1
Free trial expires today renew now,1
Mystery reward waiting tap to reveal,1
Congratulations selected for beta rewards,1
Verify your KYC to avoid service stop,1
Special offer for new users only,1
One time deal don’t miss this chance,1
Your wallet balance will expire today,1
Activate free premium access now,1
You have been shortlisted for rewards,1
Low interest loan approved instantly,1
Final reminder update your account,1
Get paid to watch videos online,1
Exclusive coupon unlocked just now,1
Security alert unusual login detected,1
Free membership ends tonight,1
Instant refund waiting for confirmation,1
Earn daily income without investment,1
Your prize is pending verification,1
Special New Year bonus for you,1
Limited users only register fast,1
Congratulations you are eligible,1
Your number won today’s draw,1
Complete survey get paid now,1
One click activation required,1
Cash reward credited verify now,1
Unlock hidden benefits today,1
🎉 Congratulations you are today’s lucky winner,1
🔥 Limited time offer grab it now,1
💰 Earn money easily from your phone,1
🚨 Urgent action required verify now,1
🎁 Free gift waiting for you claim fast,1
📢 Big sale ends tonight don’t miss out,1
✅ Your account is eligible for rewards,1
💸 Instant cashback credited tap to check,1
⚠️ Security warning update your details,1
🎊 You have been selected for bonus,1
📲 Click now to activate your benefit,1
🤑 Double your income starting today,1
⏰ Last chance offer expires soon,1
🏆 You are the final winner claim prize,1
🔔 Notification pending confirm now,1
🎯 Special deal unlocked just for you,1
💳 Loan approved no paperwork needed,1
📦 Surprise package waiting for delivery,1
✨ Premium access granted for free,1
🚀 Start earning in minutes join now,1
🎉 You have unlocked a special reward today,1
🚨 Immediate response needed avoid suspension,1
💰 Weekly payout guaranteed join now,1
🎁 Free surprise waiting tap to open,1
🔥 Mega discount live for few hours,1
📲 Verify your number to continue service,1
🤑 Easy income opportunity apply today,1
⚠️ Alert your account needs confirmation,1
🎊 Festival offer just for you,1
💳 Credit limit increased check now,1
⏰ Offer expires in 30 minutes hurry,1
🚀 Start earning from home instantly,1
📦 Parcel on hold confirm address,1
✨ You are selected for premium trial,1
🔐 Secure your account now,1
🎯 Exclusive reward unlocked claim now,1
💸 Cashback failed retry immediately,1
📢 Final notice respond today,1
🏆 Winner announcement pending action,1
📥 New benefit added tap to view,1

Are you coming to class today,0
Did you complete the assignment,0
Let's meet for lunch,0
Call me when you are free,0
Are we having class tomorrow,0
Please send the notes,0
Meeting scheduled at 10am,0
Can you help me with homework,0
Let's go for a movie tonight,0
Project deadline is tomorrow,0
Have you eaten lunch,0
See you in the evening,0
Join the meeting link,0
Please review the document,0
What time is the exam,0
Let's discuss the project,0
Class is cancelled today,0
Submit the assignment by night,0
Are you at home now,0
Let's catch up later,0
I will reach campus by 9am,0
Did sir share the syllabus update,0
Can you send yesterday’s lab record,0
Let’s study together after dinner,0
I’m stuck in traffic will be late,0
Did you understand today’s lecture,0
We have internal exam next week,0
Please remind me about the meeting,0
I left my charger in the classroom,0
Let’s submit the form tomorrow,0
Are you free this weekend,0
Teacher postponed the test to Friday,0
Can you explain that topic again,0
I’ll call you after class,0
Notes are uploaded in the group,0
Don’t forget to bring your ID card,0
We need to finalize the project title,0
I’m practicing problems right now,0
Let’s revise chapter three today,0
Bus is delayed by ten minutes,0
I’m revising for tomorrow’s test,0
Did you submit the lab assignment,0
Let’s meet near the library,0
Class starts at 8:30 today,0
Send me the PPT when free,0
I’ll be offline for some time,0
Can you share the timetable,0
Exam hall number was updated,0
Let’s practice coding problems,0
I missed the first period today,0
